"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0세","2020년12월_계_1세","2020년12월_계_2세","2020년12월_계_3세","2020년12월_계_4세","2020년12월_계_5세","2020년12월_계_6세","2020년12월_계_7세","2020년12월_계_8세","2020년12월_계_9세","2020년12월_계_10세","2020년12월_계_11세","2020년12월_계_12세","2020년12월_계_13세","2020년12월_계_14세","2020년12월_계_15세","2020년12월_계_16세","2020년12월_계_17세","2020년12월_계_18세","2020년12월_계_19세","2020년12월_계_20세","2020년12월_계_21세","2020년12월_계_22세","2020년12월_계_23세","2020년12월_계_24세","2020년12월_계_25세","2020년12월_계_26세","2020년12월_계_27세","2020년12월_계_28세","2020년12월_계_29세","2020년12월_계_30세","2020년12월_계_31세","2020년12월_계_32세","2020년12월_계_33세","2020년12월_계_34세","2020년12월_계_35세","2020년12월_계_36세","2020년12월_계_37세","2020년12월_계_38세","2020년12월_계_39세","2020년12월_계_40세","2020년12월_계_41세","2020년12월_계_42세","2020년12월_계_43세","2020년12월_계_44세","2020년12월_계_45세","2020년12월_계_46세","2020년12월_계_47세","2020년12월_계_48세","2020년12월_계_49세","2020년12월_계_50세","2020년12월_계_51세","2020년12월_계_52세","2020년12월_계_53세","2020년12월_계_54세","2020년12월_계_55세","2020년12월_계_56세","2020년12월_계_57세","2020년12월_계_58세","2020년12월_계_59세","2020년12월_계_60세","2020년12월_계_61세","2020년12월_계_62세","2020년12월_계_63세","2020년12월_계_64세","2020년12월_계_65세","2020년12월_계_66세","2020년12월_계_67세","2020년12월_계_68세","2020년12월_계_69세","2020년12월_계_70세","2020년12월_계_71세","2020년12월_계_72세","2020년12월_계_73세","2020년12월_계_74세","2020년12월_계_75세","2020년12월_계_76세","2020년12월_계_77세","2020년12월_계_78세","2020년12월_계_79세","2020년12월_계_80세","2020년12월_계_81세","2020년12월_계_82세","2020년12월_계_83세","2020년12월_계_84세","2020년12월_계_85세","2020년12월_계_86세","2020년12월_계_87세","2020년12월_계_88세","2020년12월_계_89세","2020년12월_계_90세","2020년12월_계_91세","2020년12월_계_92세","2020년12월_계_93세","2020년12월_계_94세","2020년12월_계_95세","2020년12월_계_96세","2020년12월_계_97세","2020년12월_계_98세","2020년12월_계_99세","2020년12월_계_100세 이상"
"서울특별시  (1100000000)","9,668,465","9,668,465","45,165","50,482","53,099","57,331","64,404","68,808","68,085","68,257","75,438","72,676","73,776","70,062","74,955","79,461","73,398","71,470","79,105","81,820","82,413","95,406","114,046","113,005","122,481","135,873","144,710","156,132","164,766","167,478","172,930","168,990","153,016","148,131","146,240","140,184","138,811","140,377","137,812","150,721","159,550","160,264","157,562","155,036","131,923","142,835","140,652","143,585","155,782","161,763","165,067","173,977","168,100","165,625","161,482","150,915","138,608","147,255","146,459","139,819","150,635","154,658","159,897","149,721","139,410","138,976","126,456","133,512","112,961","99,591","107,975","75,455","83,992","84,540","83,055","84,766","68,193","59,529","59,974","58,114","67,961","53,952","45,303","43,763","37,489","32,947","28,717","26,011","20,923","17,100","14,573","11,268","9,536","8,391","6,722","5,239","3,615","2,662","2,031","1,995","1,423","1,069","6,792"
"서울특별시 종로구 (1111000000)","149,384","149,384","469","585","586","676","764","843","869","833","990","912","1,018","933","1,036","1,118","1,047","980","1,115","1,123","1,161","1,482","1,835","1,868","2,016","2,288","2,467","2,604","2,583","2,606","2,616","2,533","2,311","2,012","2,007","1,951","1,803","1,894","1,740","2,006","2,050","2,169","2,070","2,176","1,802","1,917","1,984","2,084","2,269","2,470","2,593","2,866","2,782","2,657","2,634","2,510","2,309","2,481","2,522","2,390","2,580","2,594","2,635","2,341","2,190","2,270","2,048","2,170","1,789","1,595","1,743","1,167","1,332","1,411","1,373","1,473","1,143","1,103","1,122","1,121","1,314","1,108","925","964","795","674","641","551","464","374","322","268","216","190","160","132","104","76","61","53","57","44","276"
"서울특별시 중구 (1114000000)","125,240","125,240","612","624","623","682","740","729","682","720","743","681","639","569","615","682","587","580","683","693","766","959","1,332","1,340","1,455","1,708","1,819","1,930","2,113","2,256","2,384","2,249","2,092","2,025","2,096","1,997","1,921","1,968","1,861","2,025","2,078","2,044","2,008","1,884","1,614","1,642","1,587","1,649","1,772","1,783","1,927","2,145","2,076","2,167","2,194","2,069","1,825","1,976","2,055","2,011","2,117","2,212","2,215","2,058","1,946","1,975","1,857","1,845","1,664","1,396","1,551","1,044","1,249","1,238","1,189","1,255","987","944","934","917","1,094","926","710","725","650","538","557","450","377","351","257","221","183","194","138","115","67","50","44","46","36","27","205"
"서울특별시 용산구 (1117000000)","230,040","230,040","1,085","1,221","1,249","1,288","1,455","1,473","1,411","1,382","1,507","1,425","1,452","1,398","1,376","1,530","1,436","1,417","1,615","1,625","1,715","2,045","2,489","2,566","2,649","3,017","3,036","3,479","3,753","3,891","4,264","4,341","4,045","3,861","3,842","3,678","3,632","3,688","3,598","3,754","4,013","3,958","3,901","3,504","3,113","3,301","3,179","3,249","3,587","3,692","4,001","4,171","4,125","4,116","3,907","3,678","3,307","3,602","3,492","3,461","3,702","3,680","3,702","3,577","3,223","3,341","2,991","3,034","2,598","2,274","2,379","1,721","1,943","1,955","1,962","1,962","1,593","1,496","1,501","1,511","1,777","1,503","1,260","1,232","1,153","1,047","948","810","679","549","480","414","324","314","241","179","135","110","97","102","70","55","371"
"서울특별시 성동구 (1120000000)","293,556","293,556","1,873","1,935","1,967","2,058","2,228","2,226","2,099","2,032","2,068","1,963","1,840","1,705","1,841","1,985","1,746","1,776","2,001","1,990","2,162","2,769","3,427","3,497","3,822","4,230","4,614","4,879","5,095","5,126","5,249","5,104","4,804","4,657","4,841","4,653","4,721","4,846","4,818","5,089","5,247","5,229","4,972","4,724","3,995","4,167","4,136","4,168","4,335","4,699","4,733","5,091","5,051","5,030","4,956","4,631","4,251","4,746","4,625","4,395","4,764","4,799","5,030","4,470","4,242","4,108","3,791","3,769","3,237","2,782","2,987","2,118","2,379","2,432","2,258","2,460","2,004","1,722","1,822","1,770","2,123","1,616","1,401","1,317","1,149","1,049","955","726","671","500","420","332","282","221","198","141","91","74","53","47","48","30","251"
"서울특별시 광진구 (1121500000)","346,682","346,682","1,402","1,612","1,672","1,753","1,912","2,163","2,101","2,194","2,426","2,337","2,378","2,242","2,456","2,643","2,518","2,376","2,596","2,750","2,683","3,289","4,248","4,483","5,160","5,796","6,506","6,970","7,422","7,421","7,687","7,247","6,269","6,140","5,891","5,481","5,332","5,298","4,959","5,413","5,653","5,547","5,438","5,268","4,397","5,018","4,753","4,964","5,306","5,561","5,708","6,069","5,861","5,766","5,842","5,539","5,114","5,360","5,168","4,975","5,367","5,549","5,659","5,241","4,941","4,817","4,264","4,541","3,715","3,249","3,645","2,388","2,656","2,546","2,765","2,702","2,183","1,869","1,940","1,894","2,134","1,739","1,459","1,434","1,255","1,066","891","835","636","494","441","339","281","259","184","169","97","83","68","53","46","37","218"
"서울특별시 동대문구 (1123000000)","342,837","342,837","1,631","1,860","1,850","2,008","2,168","2,306","2,224","2,145","2,363","2,233","2,263","2,074","2,240","2,341","2,140","2,080","2,257","2,430","2,518","3,304","4,357","4,508","5,244","5,793","6,129","6,254","6,340","6,052","5,956","5,698","5,264","4,926","4,917","4,661","4,667","4,785","4,675","5,236","5,524","5,520","5,272","5,207","4,428","4,783","4,594","4,799","5,054","5,332","5,430","5,731","5,710","5,656","5,502","5,203","5,048","5,202","5,085","4,869","5,376","5,611","5,855","5,540","5,153","5,180","4,664","5,001","4,288","3,732","4,124","2,856","3,171","3,177","3,237","3,340","2,690","2,472","2,443","2,522","2,851","2,292","1,917","1,804","1,582","1,353","1,195","1,037","922","699","586","426","356","295","246","201","122","89","80","82","69","42","313"
"서울특별시 중랑구 (1126000000)","394,702","394,702","1,761","2,012","2,092","2,191","2,475","2,559","2,321","2,483","2,624","2,546","2,481","2,375","2,469","2,547","2,508","2,358","2,658","2,901","2,951","3,511","4,176","4,201","4,564","5,176","5,505","6,088","6,492","6,556","6,906","6,448","6,015","5,798","5,814","5,574","5,552","5,526","5,531","5,761","6,297","6,256","6,352","5,908","4,920","5,296","5,107","5,256","5,722","6,119","6,277","6,926","6,738","7,007","7,152","6,839","6,439","6,893","6,918","6,584","7,286","7,672","7,676","7,273","6,538","6,496","5,908","6,169","5,304","4,529","4,876","3,453","3,723","3,779","3,736","3,809","3,038","2,631","2,672","2,568","3,055","2,434","1,952","1,941","1,628","1,376","1,200","1,089","868","699","555","450","362","300","288","187","137","101","73","65","51","37","206"
"서울특별시 성북구 (1129000000)","437,153","437,153","2,013","2,217","2,380","2,594","3,016","3,218","3,173","3,163","3,503","3,545","3,484","3,272","3,394","3,759","3,431","3,375","3,776","3,872","3,942","4,840","5,903","6,079","6,368","7,066","6,945","7,169","7,222","6,862","6,824","6,534","5,894","5,721","5,550","5,561","5,565","5,702","5,677","6,443","6,727","7,003","6,818","6,765","5,839","6,166","6,362","6,648","7,346","7,647","7,925","8,323","8,076","7,839","7,592","6,894","6,341","6,582","6,582","6,101","6,610","6,764","7,072","6,582","6,134","6,151","5,599","5,857","4,948","4,401","4,867","3,286","3,785","3,856","3,777","3,877","3,269","2,831","2,937","2,936","3,523","2,777","2,340","2,296","1,948","1,716","1,446","1,373","1,059","823","694","534","476","397","330","273","182","122","91","87","61","54","384"
"서울특별시 강북구 (1130500000)","308,055","308,055","1,003","1,149","1,309","1,503","1,651","1,694","1,658","1,807","1,979","1,961","1,986","1,967","1,949","2,121","2,025","1,975","2,216","2,427","2,455","2,906","3,507","3,604","3,913","4,291","4,356","4,594","4,755","4,613","4,789","4,522","3,905","3,828","3,733","3,530","3,557","3,670","3,637","4,084","4,419","4,394","4,422","4,534","3,818","4,211","4,184","4,364","4,893","5,208","5,302","5,782","5,540","5,460","5,535","5,223","4,733","5,177","5,026","4,998","5,368","5,582","5,800","5,464","5,030","5,031","4,615","4,908","4,249","3,689","4,062","3,044","3,302","3,404","3,479","3,567","2,793","2,599","2,651","2,604","3,151","2,537","1,960","1,890","1,601","1,387","1,264","1,079","778","646","515","396","345","294","233","180","121","102","76","63","51","44","249"
"서울특별시 도봉구 (1132000000)","325,257","325,257","1,171","1,450","1,590","1,756","1,948","2,049","2,169","2,016","2,333","2,293","2,319","2,230","2,265","2,577","2,312","2,250","2,689","2,803","2,893","3,289","3,876","3,807","3,953","4,366","4,406","4,581","4,671","4,679","4,646","4,427","4,061","3,945","3,864","3,716","3,673","3,907","3,899","4,386","4,734","4,808","4,801","4,585","3,897","4,333","4,349","4,579","5,028","5,413","5,513","6,037","5,986","5,830","5,992","5,561","5,362","5,541","5,495","5,331","5,854","6,068","6,450","6,040","5,598","5,647","5,151","5,399","4,492","3,795","4,174","2,994","3,209","3,140","3,277","3,302","2,594","2,306","2,365","2,377","2,870","2,266","1,886","1,864","1,578","1,351","1,183","1,049","818","755","634","485","369","318","305","210","152","95","73","71","48","30","175"
"서울특별시 노원구 (1135000000)","523,037","523,037","2,188","2,478","2,595","2,968","3,274","3,705","3,717","3,778","4,278","4,201","4,517","4,368","5,080","5,328","4,981","5,122","5,657","5,877","5,765","6,540","7,538","7,151","7,534","7,872","7,511","7,591","7,161","7,098","7,089","6,637","6,125","6,063","6,130","5,884","6,024","6,150","6,219","6,986","7,531","7,628","7,840","7,927","6,986","7,773","7,882","8,299","9,242","9,777","9,953","10,561","10,290","9,922","9,653","8,802","8,044","8,212","7,975","7,856","8,466","8,608","8,734","8,130","7,784","7,560","7,002","7,290","6,144","5,305","5,813","4,042","4,487","4,477","4,276","4,430","3,564","3,123","3,200","3,136","3,821","3,022","2,616","2,530","2,215","1,948","1,628","1,575","1,295","1,067","919","701","616","499","391","303","203","136","116","110","80","54","288"
"서울특별시 은평구 (1138000000)","479,835","479,835","2,090","2,379","2,538","2,743","3,089","3,353","3,197","3,204","3,651","3,460","3,567","3,426","3,559","3,842","3,683","3,479","3,957","4,217","4,270","4,676","5,507","5,497","5,686","6,340","6,652","6,919","7,394","7,591","7,848","7,624","6,863","6,478","6,525","6,344","6,268","6,533","6,475","7,339","7,719","7,958","7,802","7,552","6,353","7,131","6,908","7,245","7,897","8,444","8,410","8,886","8,539","8,370","8,223","7,616","7,035","7,292","7,377","7,152","7,614","8,056","8,232","7,889","7,191","7,109","6,562","6,777","5,956","5,215","5,510","3,997","4,456","4,559","4,516","4,706","3,776","3,335","3,332","3,327","3,959","3,155","2,628","2,599","2,150","1,963","1,715","1,423","1,165","891","766","597","480","435","316","261","166","137","106","100","66","45","425"
"서울특별시 서대문구 (1141000000)","312,173","312,173","1,570","1,627","1,810","1,892","2,161","2,231","2,275","2,166","2,330","2,113","2,233","2,148","2,069","2,227","2,238","2,114","2,400","2,551","2,518","3,124","3,914","4,035","4,411","4,917","5,361","5,581","5,690","5,568","5,399","5,480","4,648","4,448","4,423","4,258","4,214","4,436","4,241","4,605","4,904","4,932","4,787","4,669","4,087","4,447","4,274","4,418","4,886","5,010","5,242","5,667","5,430","5,400","5,230","5,031","4,484","4,836","4,754","4,493","4,810","4,899","5,081","4,614","4,420","4,307","3,879","4,133","3,474","3,057","3,272","2,321","2,665","2,670","2,605","2,949","2,383","2,058","2,120","2,170","2,617","2,067","1,810","1,840","1,518","1,330","1,194","1,106","818","647","579","404","366","346","232","199","140","100","82","78","56","52","298"
"서울특별시 마포구 (1144000000)","371,890","371,890","1,995","2,122","2,297","2,364","2,725","2,738","2,671","2,506","2,873","2,608","2,680","2,589","2,831","2,990","2,680","2,578","2,825","2,906","2,828","3,465","4,298","4,475","4,894","5,775","6,220","6,803","7,036","7,245","7,621","7,537","6,658","6,520","6,422","6,278","6,207","6,298","6,053","6,624","6,749","6,677","6,271","6,207","5,226","5,860","5,705","5,818","6,166","6,474","6,500","6,768","6,336","6,271","5,830","5,461","4,841","5,311","5,167","4,839","5,066","5,133","5,328","4,817","4,348","4,481","4,003","4,256","3,453","3,093","3,492","2,288","2,678","2,782","2,718","2,867","2,226","2,161","2,178","2,138","2,539","2,022","1,748","1,721","1,444","1,377","1,129","1,059","823","694","618","483","373","339","271","199","131","100","65","88","59","44","346"
"서울특별시 양천구 (1147000000)","454,251","454,251","1,831","2,143","2,293","2,622","3,034","3,419","3,661","3,868","4,338","4,343","4,645","4,529","5,250","5,504","4,887","4,863","5,283","5,312","5,218","5,381","5,870","5,723","5,584","5,832","5,938","6,070","6,144","6,160","6,259","6,194","5,406","5,380","5,254","5,150","5,209","5,536","5,595","6,331","6,805","7,154","7,341","7,530","6,663","7,285","7,417","7,678","8,449","8,561","8,825","9,244","8,810","8,643","8,254","7,651","7,072","7,263","7,341","6,675","7,411","7,375","7,539","6,981","6,458","6,390","5,836","6,262","5,215","4,567","4,883","3,420","3,773","3,660","3,561","3,430","2,759","2,274","2,366","2,248","2,536","1,986","1,678","1,675","1,390","1,320","1,064","973","823","719","596","483","408","336","253","206","138","107","61","91","49","44","187"
"서울특별시 강서구 (1150000000)","580,185","580,185","3,053","3,279","3,393","3,630","4,126","4,335","4,215","4,273","4,758","4,498","4,209","4,019","4,324","4,508","4,142","4,057","4,543","4,743","4,852","5,297","6,227","5,932","6,520","7,358","8,024","9,272","10,093","10,827","11,296","11,442","10,543","10,188","10,018","9,371","9,548","9,407","9,104","10,112","10,410","10,361","9,993","9,810","8,290","8,648","8,402","8,482","9,198","9,327","9,243","9,495","9,179","9,065","8,827","8,181","7,752","8,339","8,240","8,093","8,977","9,543","9,751","9,391","8,549","8,577","7,793","8,247","6,817","6,171","6,575","4,469","5,025","4,990","4,776","4,875","3,752","3,240","3,198","2,950","3,441","2,668","2,447","2,265","1,943","1,656","1,477","1,462","1,096","984","811","637","597","506","388","313","225","164","121","89","68","51","239"
"서울특별시 구로구 (1153000000)","404,408","404,408","2,209","2,458","2,592","2,677","2,933","3,110","2,930","3,002","3,189","3,099","3,097","2,862","2,906","2,995","2,826","2,670","2,950","3,038","3,236","3,609","4,238","4,207","4,470","5,047","5,389","5,980","6,329","6,388","6,713","6,654","6,225","6,130","6,285","6,100","5,984","5,987","6,029","6,552","7,001","6,854","6,791","6,677","5,593","5,956","5,964","5,750","6,449","6,606","6,547","6,870","6,640","6,536","6,563","6,190","5,862","6,229","6,189","5,867","6,493","6,761","7,113","6,580","6,253","6,122","5,656","5,945","5,168","4,742","4,825","3,579","3,969","4,002","3,822","3,934","2,994","2,637","2,684","2,528","3,002","2,232","1,912","1,815","1,666","1,308","1,206","1,059","846","663","543","425","358","297","233","177","138","93","64","79","53","24","179"
"서울특별시 금천구 (1154500000)","231,733","231,733","1,007","1,068","1,135","1,232","1,333","1,445","1,293","1,215","1,489","1,331","1,354","1,254","1,271","1,449","1,357","1,331","1,485","1,588","1,670","1,910","2,339","2,447","2,824","3,204","3,551","4,072","4,420","4,812","4,790","4,668","4,159","3,794","3,717","3,516","3,390","3,313","3,220","3,394","3,528","3,450","3,446","3,246","2,784","2,942","2,880","3,103","3,326","3,640","3,653","3,883","3,954","3,942","4,092","3,808","3,871","4,023","4,086","3,866","4,315","4,335","4,467","4,222","3,821","3,545","3,344","3,412","2,998","2,522","2,721","2,067","2,279","2,162","2,102","2,163","1,729","1,536","1,499","1,462","1,750","1,377","1,114","1,090","877","724","626","607","470","392","323","256","211","158","153","111","58","55","43","35","36","19","177"
"서울특별시 영등포구 (1156000000)","379,480","379,480","2,258","2,567","2,534","2,607","2,822","2,854","2,634","2,445","2,682","2,433","2,399","2,194","2,275","2,388","2,188","2,132","2,424","2,535","2,574","3,169","3,737","3,775","4,236","4,835","5,337","6,192","7,065","7,421","8,176","8,302","7,441","7,331","7,378","6,884","6,757","6,775","6,492","6,590","6,982","6,615","6,200","6,078","4,992","5,397","5,264","5,140","5,525","5,725","5,864","6,253","5,949","6,059","5,887","5,554","5,292","5,584","5,741","5,259","5,703","5,903","6,046","5,632","5,376","5,283","4,676","5,115","4,249","3,659","4,107","2,929","3,361","3,284","3,185","3,267","2,626","2,279","2,302","2,267","2,689","2,120","1,752","1,818","1,447","1,364","1,247","1,100","884","695","598","434","355","301","252","200","128","108","78","76","56","44","287"
"서울특별시 동작구 (1159000000)","391,220","391,220","1,890","1,980","2,178","2,331","2,563","2,834","2,696","2,601","2,827","2,664","2,750","2,545","2,565","2,701","2,550","2,452","2,775","2,843","2,970","3,670","4,506","4,690","5,442","6,131","6,834","7,396","7,877","7,883","7,958","7,828","6,811","6,651","6,440","6,116","5,771","5,832","5,656","6,189","6,362","6,268","6,245","6,193","5,221","5,530","5,533","5,546","5,972","5,992","6,132","6,548","6,239","6,345","6,143","5,776","5,199","5,580","5,785","5,424","5,835","6,017","6,284","5,849","5,456","5,460","4,962","5,240","4,445","3,948","4,318","3,200","3,433","3,506","3,516","3,593","3,018","2,499","2,558","2,451","2,879","2,302","1,997","1,876","1,591","1,377","1,267","1,075","931","731","611","439","402","354","297","220","159","107","93","87","52","43","313"
"서울특별시 관악구 (1162000000)","495,060","495,060","1,745","1,851","1,898","2,106","2,298","2,515","2,415","2,375","2,558","2,611","2,540","2,380","2,536","2,724","2,551","2,596","2,795","3,057","3,186","4,235","5,444","5,937","7,450","9,280","11,109","12,686","14,240","14,603","14,724","13,662","11,641","10,683","9,727","8,785","8,063","7,674","7,152","7,435","7,908","7,713","7,424","7,138","5,996","6,323","6,270","6,345","6,921","7,166","7,203","7,698","7,286","7,216","7,058","6,699","6,215","6,679","6,575","6,356","7,019","6,949","7,513","6,994","6,468","6,295","5,936","6,357","5,455","4,756","5,419","4,050","4,414","4,484","4,314","4,404","3,556","3,127","3,264","3,046","3,678","2,889","2,339","2,209","1,874","1,577","1,293","1,138","884","748","621","458","405","342","276","214","165","93","81","81","60","36","323"
"서울특별시 서초구 (1165000000)","425,126","425,126","2,043","2,331","2,681","2,821","3,249","3,672","3,939","4,142","4,533","4,440","4,677","4,376","4,821","4,799","4,430","4,293","4,633","4,394","4,307","4,599","5,136","4,732","4,963","5,040","5,273","5,460","5,723","5,933","6,314","6,517","5,900","6,036","6,009","5,790","5,917","5,904","6,033","6,728","7,341","7,566","7,704","7,671","6,783","7,534","7,436","7,360","8,123","8,196","8,273","8,275","8,150","7,653","7,023","6,535","5,362","5,840","5,931","5,551","5,547","5,605","5,751","5,595","5,373","5,407","4,881","5,216","4,286","4,151","4,196","2,941","3,304","3,423","3,403","3,375","2,826","2,417","2,295","2,192","2,294","1,905","1,575","1,477","1,243","1,197","969","973","772","612","558","411","374","362","291","220","162","125","85","108","55","47","232"
"서울특별시 강남구 (1168000000)","539,231","539,231","2,159","2,504","2,594","2,972","3,392","3,877","4,252","4,613","5,163","5,240","5,382","5,303","6,187","6,476","5,790","5,759","6,025","6,159","5,820","6,233","7,062","6,118","6,547","6,602","6,953","7,317","7,900","8,213","8,615","8,613","8,158","8,002","7,876","7,604","7,656","7,603","7,743","8,514","9,139","9,543","9,516","9,929","8,617","9,543","9,493","9,660","10,225","10,413","10,837","11,033","10,558","9,926","8,967","8,260","6,971","7,616","7,392","6,955","6,815","6,890","7,017","6,649","6,464","6,681","6,167","6,518","5,532","5,198","5,615","3,582","4,190","4,303","4,274","4,206","3,622","2,964","2,855","2,607","2,864","2,282","2,001","1,710","1,568","1,404","1,153","1,107","919","695","692","564","476","456","334","267","198","173","108","102","60","64","296"
"서울특별시 송파구 (1171000000)","667,960","667,960","3,532","4,052","4,269","4,706","5,425","5,595","5,610","5,531","6,159","5,865","5,939","5,609","5,677","6,114","5,722","5,399","5,888","6,035","5,960","6,725","7,895","7,463","7,609","8,405","8,865","9,787","10,447","10,828","11,356","11,464","10,898","10,752","10,697","10,590","10,643","10,601","10,504","11,459","12,293","12,153","11,997","11,811","9,684","10,486","10,195","10,195","10,779","11,025","11,290","11,837","11,260","11,235","10,838","10,189","9,294","10,022","9,813","9,558","9,997","10,360","10,738","10,090","9,319","9,683","8,435","9,230","7,654","6,853","7,328","4,854","5,298","5,290","5,001","5,059","4,068","3,359","3,302","3,033","3,350","2,680","2,202","2,093","1,806","1,642","1,422","1,355","1,107","997","845","663","537","496","411","316","224","159","118","120","79","59","299"
"서울특별시 강동구 (1174000000)","459,970","459,970","2,575","2,978","2,974","3,151","3,623","3,865","3,873","3,763","4,074","3,874","3,927","3,695","3,963","4,113","3,623","3,458","3,859","3,951","3,993","4,379","5,185","4,870","5,167","5,504","5,910","6,458","6,801","6,846","7,451","7,265","6,880","6,762","6,784","6,712","6,737","7,044","6,901","7,666","8,136","8,464","8,151","8,043","6,825","7,146","6,794","6,786","7,312","7,483","7,686","7,818","7,535","7,514","7,588","7,015","6,585","6,869","7,125","6,760","7,543","7,693","8,209","7,702","7,135","7,060","6,436","6,821","5,831","4,912","5,493","3,645","3,911","4,010","3,933","3,761","3,000","2,547","2,434","2,339","2,650","2,047","1,674","1,578","1,418","1,203","1,047","1,000","818","675","589","448","384","382","301","246","172","103","94","82","57","43","255"
